과목,강좌명,강사,강좌구분,난이도,링크
국어,[2027 수능특강] 차해나의 고난도 독서,차해나,개념완성,발전,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000859
국어,[2027 수능특강] 이현진의 화법과 작문 - 전 문항,이현진,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000860
국어,[2027 수능특강] 조효준의 화법과 작문 - 핵심 요약,조효준,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000861
국어,[2027 FINAL 실전모의고사] 국어,곽동훈,문제풀이,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20260000078
국어,[2027 내신만점 수능특강] 이현진의 문학,이현진,학교시험대비,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20260000004
국어,[2027 내신만점 수능특강] 김진원의 독서,김진원,학교시험대비,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20260000005
국어,[2027 내신만점 수능특강] 이영현의 화법과 작문,이영현,학교시험대비,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20260000006
국어,[2027 내신만점 수능특강] 명지희의 언어와 매체,명지희,학교시험대비,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20260000007
국어,[2027 수능특강 문학 연계 기출] 고전시가·현대시,윤선영,문제풀이,발전,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000950
국어,[2027 수능특강 문학 연계 기출] 고전산문·현대소설,조은아,문제풀이,발전,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000951
국어,[2027 수능특강] 한병훈의 문학 - 전 문항,한병훈,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000855
국어,[2027 수능특강] 윤혜정의 독서 - 전 문항,윤혜정,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000858
국어,[2027 수능특강] 최서희의 문학 - 전 문항,최서희,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000854
국어,[2027 수능특강] 25시간에 끝내는 남궁민의 핵심 선별 문학,남궁민,개념완성,발전,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000856
국어,[2027 수능특강] 한병훈의 독서 - 전 문항,한병훈,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000857
국어,[2027 수능특강] 차해나의 고난도 독서,차해나,개념완성,발전,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000859
국어,[2027 수능특강] 이현진의 화법과 작문 - 전 문항,이현진,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000860
국어,[2027 수능특강] 조효준의 화법과 작문 - 핵심 요약,조효준,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000861
국어,[2027 FINAL 실전모의고사] 국어,곽동훈,문제풀이,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20260000078
국어,[2027 내신만점 수능특강] 이현진의 문학,이현진,학교시험대비,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20260000004
국어,[2027 내신만점 수능특강] 김진원의 독서,김진원,학교시험대비,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20260000005
국어,[2027 내신만점 수능특강] 이영현의 화법과 작문,이영현,학교시험대비,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20260000006
국어,[2027 내신만점 수능특강] 명지희의 언어와 매체,명지희,학교시험대비,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20260000007
국어,[2027 수능특강 문학 연계 기출] 고전시가·현대시,윤선영,문제풀이,발전,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000950
국어,[2027 수능특강 문학 연계 기출] 고전산문·현대소설,조은아,문제풀이,발전,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000951
국어,[2027 수능특강] 한병훈의 문학 - 전 문항,한병훈,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000855
국어,[2027 수능특강] 윤혜정의 독서 - 전 문항,윤혜정,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000858
국어,[2027 수능특강] 최서희의 문학 - 전 문항,최서희,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000854
국어,[2027 수능특강] 25시간에 끝내는 남궁민의 핵심 선별 문학,남궁민,개념완성,발전,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000856
국어,[2027 수능특강] 한병훈의 독서 - 전 문항,한병훈,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000857
국어,[2027 수능특강] 차해나의 고난도 독서,차해나,개념완성,발전,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000859
국어,[2027 수능특강] 이현진의 화법과 작문 - 전 문항,이현진,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000860
국어,[2027 수능특강] 조효준의 화법과 작문 - 핵심 요약,조효준,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000861
국어,[2027 FINAL 실전모의고사] 국어,곽동훈,문제풀이,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20260000078
국어,[2027 내신만점 수능특강] 이현진의 문학,이현진,학교시험대비,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20260000004
국어,[2027 내신만점 수능특강] 김진원의 독서,김진원,학교시험대비,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20260000005
국어,[2027 내신만점 수능특강] 이영현의 화법과 작문,이영현,학교시험대비,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20260000006
국어,[2027 내신만점 수능특강] 명지희의 언어와 매체,명지희,학교시험대비,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20260000007
국어,[2027 수능특강 문학 연계 기출] 고전시가·현대시,윤선영,문제풀이,발전,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000950
국어,[2027 수능특강 문학 연계 기출] 고전산문·현대소설,조은아,문제풀이,발전,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000951
국어,[2027 수능특강] 한병훈의 문학 - 전 문항,한병훈,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000855
국어,[2027 수능특강] 윤혜정의 독서 - 전 문항,윤혜정,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000858
국어,[2027 수능특강] 최서희의 문학 - 전 문항,최서희,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000854
국어,[2027 수능특강] 25시간에 끝내는 남궁민의 핵심 선별 문학,남궁민,개념완성,발전,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000856
국어,[2027 수능특강] 한병훈의 독서 - 전 문항,한병훈,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000857
국어,[2027 수능특강] 차해나의 고난도 독서,차해나,개념완성,발전,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000859
국어,[2027 수능특강] 이현진의 화법과 작문 - 전 문항,이현진,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000860
국어,[2027 수능특강] 조효준의 화법과 작문 - 핵심 요약,조효준,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000861
국어,[2027 FINAL 실전모의고사] 국어,곽동훈,문제풀이,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20260000078
국어,[2027 내신만점 수능특강] 이현진의 문학,이현진,학교시험대비,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20260000004
국어,[2027 내신만점 수능특강] 김진원의 독서,김진원,학교시험대비,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20260000005
국어,[2027 내신만점 수능특강] 이영현의 화법과 작문,이영현,학교시험대비,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20260000006
국어,[2027 내신만점 수능특강] 명지희의 언어와 매체,명지희,학교시험대비,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20260000007
국어,[2027 수능특강 문학 연계 기출] 고전시가·현대시,윤선영,문제풀이,발전,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000950
국어,[2027 수능특강 문학 연계 기출] 고전산문·현대소설,조은아,문제풀이,발전,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000951
국어,[2027 수능특강] 한병훈의 문학 - 전 문항,한병훈,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000855
국어,[2027 수능특강] 윤혜정의 독서 - 전 문항,윤혜정,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000858
국어,[2027 수능특강] 최서희의 문학 - 전 문항,최서희,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000854
국어,[2027 수능특강] 25시간에 끝내는 남궁민의 핵심 선별 문학,남궁민,개념완성,발전,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000856
국어,[2027 수능특강] 한병훈의 독서 - 전 문항,한병훈,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000857
국어,[2027 수능특강] 차해나의 고난도 독서,차해나,개념완성,발전,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000859
국어,[2027 수능특강] 이현진의 화법과 작문 - 전 문항,이현진,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000860
국어,[2027 수능특강] 조효준의 화법과 작문 - 핵심 요약,조효준,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000861
국어,[2027 FINAL 실전모의고사] 국어,곽동훈,문제풀이,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20260000078
국어,[2027 내신만점 수능특강] 이현진의 문학,이현진,학교시험대비,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20260000004
국어,[2027 내신만점 수능특강] 김진원의 독서,김진원,학교시험대비,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20260000005
국어,[2027 내신만점 수능특강] 이영현의 화법과 작문,이영현,학교시험대비,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20260000006
국어,[2027 내신만점 수능특강] 명지희의 언어와 매체,명지희,학교시험대비,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20260000007
국어,[2027 수능특강 문학 연계 기출] 고전시가·현대시,윤선영,문제풀이,발전,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000950
국어,[2027 수능특강 문학 연계 기출] 고전산문·현대소설,조은아,문제풀이,발전,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000951
국어,[2027 수능특강] 한병훈의 문학 - 전 문항,한병훈,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000855
국어,[2027 수능특강] 윤혜정의 독서 - 전 문항,윤혜정,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000858
국어,[2027 수능특강] 최서희의 문학 - 전 문항,최서희,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000854
국어,[2027 수능특강] 25시간에 끝내는 남궁민의 핵심 선별 문학,남궁민,개념완성,발전,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000856
국어,[2027 수능특강] 한병훈의 독서 - 전 문항,한병훈,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000857
국어,[2027 수능특강] 차해나의 고난도 독서,차해나,개념완성,발전,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000859
국어,[2027 수능특강] 이현진의 화법과 작문 - 전 문항,이현진,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000860
국어,[2027 수능특강] 조효준의 화법과 작문 - 핵심 요약,조효준,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000861
국어,[2027 FINAL 실전모의고사] 국어,곽동훈,문제풀이,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20260000078
국어,[2027 내신만점 수능특강] 이현진의 문학,이현진,학교시험대비,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20260000004
국어,[2027 내신만점 수능특강] 김진원의 독서,김진원,학교시험대비,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20260000005
국어,[2027 내신만점 수능특강] 이영현의 화법과 작문,이영현,학교시험대비,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20260000006
국어,[2027 내신만점 수능특강] 명지희의 언어와 매체,명지희,학교시험대비,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20260000007
국어,[2027 수능특강 문학 연계 기출] 고전시가·현대시,윤선영,문제풀이,발전,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000950
국어,[2027 수능특강 문학 연계 기출] 고전산문·현대소설,조은아,문제풀이,발전,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000951
국어,[2027 수능특강] 한병훈의 문학 - 전 문항,한병훈,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000855
국어,[2027 수능특강] 윤혜정의 독서 - 전 문항,윤혜정,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000858
국어,[2027 수능특강] 최서희의 문학 - 전 문항,최서희,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000854
국어,[2027 수능특강] 25시간에 끝내는 남궁민의 핵심 선별 문학,남궁민,개념완성,발전,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000856
국어,[2027 수능특강] 한병훈의 독서 - 전 문항,한병훈,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000857
국어,[2027 수능특강] 차해나의 고난도 독서,차해나,개념완성,발전,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000859
국어,[2027 수능특강] 이현진의 화법과 작문 - 전 문항,이현진,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000860
국어,[2027 수능특강] 조효준의 화법과 작문 - 핵심 요약,조효준,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000861
영어,[2027 FINAL 실전모의고사] 영어,이자인,문제풀이,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20260000081
영어,[2026 전국영어듣기평가] 고3 해설 (4월),김용지,문제풀이,공통,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20260000071
영어,[2027 내신만점 수능특강] 원정의의 영어,원정의,학교시험대비,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20260000011
영어,[2027 내신만점 수능특강] 김수연의 영어독해,김수연,학교시험대비,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20260000013
영어,2027 수능연계교재의 VOCA 1800,김보라,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000938
영어,[2027 수능특강] 주혜연의 영어 - 전 문항,주혜연,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000876
영어,[2027 수능특강] 원정의의 영어 - 핵심 요약,원정의,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000877
영어,[2027 수능특강] 김제희의 영어 - 고난도,김제희,개념완성,발전,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000878
영어,[2027 수능특강] 김용지의 영어듣기 - 전 문항,김용지,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000879
영어,[2027 수능특강] 김수연의 영어독해연습 - 전 문항,김수연,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000880
영어,[2027 수능특강] 정승익의 영어독해연습 - 핵심 요약,정승익,개념완성,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000881
영어,[2027 수능특강] 박재창의 영어독해연습 - 고난도,박재창,개념완성,발전,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000882
영어,[2027 수능 기출의 미래] 영어독해,이상미,문제풀이,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000835
영어,[2027 수능 기출의 미래] 영어 어법어〮휘,김현진,문제풀이,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000836
영어,[2027 수능개념] 주혜연의 해석공식 기출구문,주혜연,입문,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20250000798
영어,[2027 FINAL 실전모의고사] 영어,이자인,문제풀이,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20260000081
영어,[2026 전국영어듣기평가] 고3 해설 (4월),김용지,문제풀이,공통,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20260000071
영어,[2027 내신만점 수능특강] 원정의의 영어,원정의,학교시험대비,기본,https://www.ebsi.co.kr/ebs/lms/lmsx/retrieveSbjtDtl.ebs?courseId=S20260000011
